ingredient,substitute
cardamom,ground ginger
chervil,parsley
saffron,ground turmeric
savory,thyme 
tarragon,chervil 
sour cream,greek yogurt
half and half,milk
half & half,milk
chicken breast,chicken thighs
ground turkey,ground beef 
fresh herbs,dried herbs
shallots,onions
leaks,onions
scallions,onions
white wine,apple juice
red wine,cranberry juice
pasta,rotini 
pine nuts,sunflower seeds
arrowroot,all-purpose flour
arrow root,all-purpose flour
mirin,sweet marsala wine
cream of tartar,baking powder
fish sauce,soy sauce
ghee,olive oil
vanilla extract,maple syrup
truffles,porcini mushrooms
filet mignon ,shoulder tender
mace,nutmeg
star anise,ground fennel
mascarpone cheese,cream cheese
heavy cream,evaporated milk
beer,broth
bourbon ,vanilla extract
sake,rice vinegar
maple syrup,honey
chives,green onion tops
pimento,red bell pepper
guanciale ,bacon
fresh parsley,dried parsley
fresh mint,dried mint
fresh dill,dried dill
fresh basil,dried basil
fresh sage,dried sage
fresh rosemary,dried rosemary
fresh thyme,dried thyme
olive oil,cannola oil
