default,chinese
asparagus,bamboo shoots
broccoli,bok choy
milk,coconut milk
white mushroom,shiitake mushroom
brown mushroom,shiitake mushroom
ketchup,hoisin sauce
vinegar,rice wine vinegar
vegetable oil,peanut oil
canola oil,peanut oil
sunflower oil,peanut oil
olive oil,sesame oil
salt,soy sauce
bread crumbs,panko
crushed red pepper flakes,sichuan chil flakes
parsley,cilantro
carrots,bamboo shoots
cabbage,napa cabbage
kale,choy sum
chard,gai lan
collard greens,bok choy
watercress,chinese chives
onion,scallion
cooking wine,shaoxing wine
black pepper,white pepper powder
broccoli,gai lan
